1;Люди ;NOUN
2;росшие ;PRTF
3;в ;PREP
4;80-ые ;NUMR
5;и ;CONJ
6;90-ые ;NUMR
7;знакомы ;ADJ
8;с ;PREP
9;именами ;NOUN
10;из ;PREP
11;заголовка ;NOUN
12;не ;PRCL
13;понаслышке ;ADV
14;Веном ;NOUN
15;и ;CONJ
16;Карнадж ;NOUN
17;были ;VERB
18;одними ;NUMR
19;из ;PREP
20;самых ;PRON
21;ярких ;ADJ
22;и ;CONJ
23;запоминающихся ;PRTF
24;злодеев ;NOUN
25;из ;PREP
26;мультсериала ;NOUN
27;про ;PREP
28;Человека-Паука ;NOUN
29;В ;PREP
30;комиксах ;NOUN
31;же ;PRCL
32;это ;PRON
33;в целом;PREP
34;довольно ;ADV
35;важный ;ADJ
36;персонаж ;NOUN
37;который ;CONJ
38;за ;PREP
39;многие ;ADJ
40;десятки ;NOUN
41;лет ;NOUN
42;своего ;PRON
43;существования ;NOUN
44;пережил ;VERB
45;множество ;NOUN
46;различных ;ADJ
47;сюжетов ;NOUN
48;Неудивительно ;ADV
49;что ;CONJ
50;именно ;PRCL
51;Веномом ;NOUN
52;в ;PREP
53;первую ;NUMR
54;очередь ;NOUN
55;воспользовались ;VERB
56;когда ;CONJ
57;Человек-Паук ;NOUN
58;ушел ;VERB
59;на ;PREP
60;длительные ;ADJ
61;творческие ;ADJ
62;каникулы ;NOUN
63;Первый ;NUMR
64;фильм ;NOUN
65;в ;PREP
66;линейке ;NOUN
67;сюжетов ;NOUN
68;про ;PREP
69;злодеев ;NOUN
70;Паучка ;NOUN
71;вышел ;VERB
72;неоднозначным ;ADJ
73;с ;PREP
74;точки ;NOUN
75;зрения ;NOUN
76;приема ;NOUN
77;у ;PREP
78;зрителей ;NOUN
79;и ;CONJ
80;ошеломительным ;ADJ
81;с ;PREP
82;точки ;NOUN
83;зрения ;NOUN
84;кассового ;ADJ
85;успеха ;NOUN
86;А ;CONJ
87;тут ;ADV
88;уж ;PRCL
89;как ;CONJ
90;вы ;PRON
91;знаете ;VERB
92;сиквела ;NOUN
93;не ;PRCL
94;миновать;VERB
95;Главное ;ADJ
96;просмотр ;NOUN
97;фильм ;NOUN
98;в ;PREP
99;состоянии ;NOUN
100;принести ;VERB
101;удовольстви ;NOUN
102;Он ;PRON
103;быстрый ;ADJ
104;веселый ;ADJ
105;в ;PREP
106;меру ;NOUN
107;динамичный ;ADJ
108;В ;PREP
109;«Веноме» ;NOUN
110;очень ;ADV
111;много ;ADV
112;шуток ;NOUN
113;юмора ;NOUN
114;как ;CONJ
115;ситуативного ;ADJ
116;так ;ADV
117;и ;CONJ
118;диалогового ;ADJ
119;Эдди ;NOUN
120;Брок ;NOUN
121;и ;CONJ
122;симбиот ;NOUN
123;не ;PRCL
124;прекращают ;VERB
125;подтрунивать ;VERB
126;друг ;NOUN
127;над ;PREP
128;другом ;NOUN
129;Если ;CONJ
130;воспринимать ;VERB
131;фильм ;NOUN
132;как ;CONJ
133;легкий ;ADJ
134;комедийный ;ADJ
135;бади-боевик ;NOUN
136;из ;PREP
137;80-х ;NUMR
138;то ;PRON
139;он ;PRON
140;отлично ;ADV
141;выполняет ;VERB
142;свою ;PRON
143;функцию ;NOUN
144;Юмор ;NOUN
145;практически ;ADV
146;не ;PRCL
147;останавливается ;VERB
148;события ;NOUN
149;сменяют ;VERB
150;друг ;NOUN
151;друга ;NOUN
152;быстро ;ADV
153;Сам ;PRON
154;Карнадж ;NOUN
155;в ;PREP
156;виде ;NOUN
157;симбиота ;NOUN
158;впечатляет ;VERB
159;Он ;PRON
160;красив ;ADJ
161;он ;PRON
162;круто ;ADV
163;анимирован ;PRTF
164;за ;PREP
165;экшеном ;NOUN
166;с ;PREP
167;его ;PRON
168;участием ;NOUN
169;наблюдать ;VERB
170;увлекательно ;ADV
171;Но ;CONJ
172;достойной ;ADJ
173;истории ;NOUN
174;красный ;ADJ
175;симбиот ;NOUN
176;все ;PRON
177;же ;PRCL
178;не ;PRCL
179;получает ;VERB
180;Также ;PRCL
181;открытым ;ADJ
182;остается ;VERB
183;вопрос ;NOUN
184;хронометража ;NOUN
185;почему ;CONJ
186;всего ;PRCL
187;90;NUMR
188;минут;NOUN
189;Это ;PRON
190;мало ;ADV
191;для ;PREP
192;комикс ;NOUN
193;блокбастера ;NOUN
194;Сжатый ;ADJ
195;хрон ;NOUN
196;во ;PREP
197;многом ;ADJ
198;виноват ;ADJ
199;в ;PREP
200;том ;PRON
201;что ;CONJ
202;раскрытием ;NOUN
203;второстепенных ;ADJ
204;героев ;NOUN
205;фильм ;NOUN
206;будто ;CONJ
207;бы ;PRCL
208;и ;CONJ
209;не ;PRCL
210;заморачивается ;VERB
211;В ;PREP
212;остальном ;NOUN
213;это ;PRON
214;нормальное ;ADJ
215;кинцо ;NOUN
216;Яркий ;ADJ
217;главный ;ADJ
218;экранный ;ADJ
219;дует ;NOUN
220;неплохой ;ADJ
221;экшен ;NOUN
222;много ;ADV
223;юмора ;NOUN
224;Да ;PRCL
225;сценарий ;NOUN
226;страдает ;VERB
227;от ;PREP
228;ленивых ;ADJ
229;мотиваций ;NOUN
230;резвых ;ADJ
231;телепортаций ;NOUN
232;героев ;NOUN
233;на ;PREP
234;большие ;ADJ
235;расстояния ;NOUN
236;и ;CONJ
237;прочих ;PRON
238;условностей ;NOUN
239;Но ;CONJ
240;все ;PRON
241;это ;PRON
242;имеет ;VERB
243;мало ;ADV
244;значения ;NOUN
245;в ;PREP
246;контексте ;NOUN
247;этого ;PRON
248;фильма ;NOUN
249;я ;PRON
250;вернусь ;VERB
251;к ;PREP
252;тому ;PRON
253;с ;PREP
254;чего ;PRON
255;я ;PRON
256;начал ;VERB
257;этот ;PRON
258;текст ;NOUN
259;Я ;PRON
260;получил ;VERB
261;удовольствие ;NOUN
262;от ;PREP
263;просмотра ;NOUN
264;Да ;PRCL
265;это ;PRON
266;не ;PRCL
267;то ;PRON
268;что ;CONJ
269;я ;PRON
270;хотел ;VERB
271;бы ;PRCL
272;получить ;VERB
273;от ;PREP
274;фильма ;NOUN
275;с ;PREP
276;таким ;PRON
277;названием ;NOUN
278;но ;CONJ
279;черт ;NOUN
280;на ;PREP
281;шутке ;NOUN
282;про ;PREP
283;кетчуп ;NOUN
284;меня ;PRON
285;порвало ;VERB
286;Не ;PRCL
287;пропустите ;VERB
288;По ;PREP
289;НТВ ;NOUN
290;таких ;PRON
291;фильмов ;NOUN
292;не ;PRCL
293;покажут;VERB
